"BehaviorSpace results (NetLogo 6.2.0)"
"EvolvingGamePlayers.nlogo"
"experiment-Amadae-EmptyMemory-XY"
"08/02/2021 19:22:50:088 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-1","22","-1","22"
"[run number]","Game","Rounds","Population-Size","Perc-Group2","Opponents-Include-Own-Group?","Playing-Strategy","Initial-Populations","Initial-X","Initial-Y","Memory-Initialization","Memory-Initial-Weight-1","Memory-Initial-Weight-2","Memory-Length-1","Memory-Length-2","Unlimited-Memory?","Playing-Noise","Replicate?","Replication-Noise","Speed-1","Speed-2","Delta","Value","Value-As-Perc-Of-Cost","Punishment","Reward","Sucker","Temptation","k","My-Preference","Your-Preference","Draw-X-And-Y-Axes?","Reposition-Populations","Population-Pen-Down?","Recolor-Populations?","Calculate-Dominance?","Print-Out-Match-Results?","Seed-Setup","Seed-Go","[step]","timer","prev-seed-setup","prev-seed-go","count populations","num-pops-g1-dominant","num-pops-g2-dominant","num-pops-none-dominant","num-pops-g1-hawkish","num-pops-g2-hawkish","num-pops-none-hawkish","num-pops-with-group1-dom","num-pops-with-group2-dom","num-pops-with-groups-equal","Cost","msne","msne-payoff","group1-payoff","group2-payoff"
"20","Hawk-Dove","2000","200","20","true","Play-Initial-X-Y","100 at Initial-X/Y","20","0","Empty","10","10","10","10","true","0","false","0","10","10","0.1","10","10","1","3","0","5","1.5","40","20","true","By Mean Belief","false","false","true","false","0","0","263","437.485","710366059","-634185530","100","100","0","0","100","0","0","100","0","0","100","0.1","4.5","5.5846875","0.81125"
"15","Hawk-Dove","2000","200","60","true","Play-Initial-X-Y","100 at Initial-X/Y","10","0","Empty","10","10","10","10","true","0","false","0","10","10","0.1","10","10","1","3","0","5","1.5","40","20","true","By Mean Belief","false","false","true","false","0","0","382","453.736","-84783740","-103458503","100","93","7","0","93","7","0","93","7","0","100","0.1","4.5","7.32875","2.9391666666666665"
"5","Hawk-Dove","2000","200","50","true","Play-Initial-X-Y","100 at Initial-X/Y","0","0","Empty","10","10","10","10","true","0","false","0","10","10","0.1","10","10","1","3","0","5","1.5","40","20","true","By Mean Belief","false","false","true","false","0","0","822","471.295","-481667682","-1772296896","100","48","52","0","48","52","0","48","52","0","100","0.1","4.5","4.579000000000001","4.791000000000002"
"9","Hawk-Dove","2000","200","90","true","Play-Initial-X-Y","100 at Initial-X/Y","0","0","Empty","10","10","10","10","true","0","false","0","10","10","0.1","10","10","1","3","0","5","1.5","40","20","true","By Mean Belief","false","false","true","false","0","0","901","485.377","-12159413","-1098851231","100","24","76","0","24","76","0","24","76","0","100","0.1","4.5","2.6125","4.831944444444447"
"1","Hawk-Dove","2000","200","10","true","Play-Initial-X-Y","100 at Initial-X/Y","0","0","Empty","10","10","10","10","true","0","false","0","10","10","0.1","10","10","1","3","0","5","1.5","40","20","true","By Mean Belief","false","false","true","false","0","0","969","11006.3","-1833512313","1779806369","100","79","21","0","79","21","0","79","21","0","100","0.1","4.5","4.90166666666667","2.235"
"19","Hawk-Dove","2000","200","10","true","Play-Initial-X-Y","100 at Initial-X/Y","20","0","Empty","10","10","10","10","true","0","false","0","10","10","0.1","10","10","1","3","0","5","1.5","40","20","true","By Mean Belief","false","false","true","false","0","0","405","505.153","-1337213461","491757028","100","100","0","0","100","0","0","100","0","0","100","0.1","4.5","5.093888888888889","0.455"
"24","Hawk-Dove","2000","200","60","true","Play-Initial-X-Y","100 at Initial-X/Y","20","0","Empty","10","10","10","10","true","0","false","0","10","10","0.1","10","10","1","3","0","5","1.5","40","20","true","By Mean Belief","false","false","true","false","0","0","234","534.87","-569326231","-629077107","100","100","0","0","100","0","0","100","0","0","100","0.1","4.5","7.834375","2.7270833333333337"
"16","Hawk-Dove","2000","200","70","true","Play-Initial-X-Y","100 at Initial-X/Y","10","0","Empty","10","10","10","10","true","0","false","0","10","10","0.1","10","10","1","3","0","5","1.5","40","20","true","By Mean Belief","false","false","true","false","0","0","590","562.374","1733240170","-595873413","100","71","29","0","71","29","0","71","29","0","100","0.1","4.5","6.330833333333333","4.086785714285714"
"29","Hawk-Dove","2000","200","20","true","Play-Initial-X-Y","100 at Initial-X/Y","30","0","Empty","10","10","10","10","true","0","false","0","10","10","0.1","10","10","1","3","0","5","1.5","40","20","true","By Mean Belief","false","false","true","false","0","0","198","575.3","-1119237987","1631312029","100","100","0","0","100","0","0","100","0","0","100","0.1","4.5","5.6990625","0.82875"
"32","Hawk-Dove","2000","200","50","true","Play-Initial-X-Y","100 at Initial-X/Y","30","0","Empty","10","10","10","10","true","0","false","0","10","10","0.1","10","10","1","3","0","5","1.5","40","20","true","By Mean Belief","false","false","true","false","0","0","137","578.429","1445689496","-1794740998","100","100","0","0","100","0","0","100","0","0","100","0.1","4.5","7.2845","2.2255000000000003"
"31","Hawk-Dove","2000","200","40","true","Play-Initial-X-Y","100 at Initial-X/Y","30","0","Empty","10","10","10","10","true","0","false","0","10","10","0.1","10","10","1","3","0","5","1.5","40","20","true","By Mean Belief","false","false","true","false","0","0","141","11085.788","-59291068","-1080653170","100","100","0","0","100","0","0","100","0","0","100","0.1","4.5","6.689166666666665","1.80375"
"25","Hawk-Dove","2000","200","70","true","Play-Initial-X-Y","100 at Initial-X/Y","20","0","Empty","10","10","10","10","true","0","false","0","10","10","0.1","10","10","1","3","0","5","1.5","40","20","true","By Mean Belief","false","false","true","false","0","0","318","583.07","-970071731","-845015364","100","96","4","0","96","4","0","96","4","0","100","0.1","4.5","8.005833333333337","3.3117857142857137"
"33","Hawk-Dove","2000","200","60","true","Play-Initial-X-Y","100 at Initial-X/Y","30","0","Empty","10","10","10","10","true","0","false","0","10","10","0.1","10","10","1","3","0","5","1.5","40","20","true","By Mean Belief","false","false","true","false","0","0","123","604.177","358729371","-1413422997","100","100","0","0","100","0","0","100","0","0","100","0.1","4.5","7.805","2.688333333333333"
"30","Hawk-Dove","2000","200","30","true","Play-Initial-X-Y","100 at Initial-X/Y","30","0","Empty","10","10","10","10","true","0","false","0","10","10","0.1","10","10","1","3","0","5","1.5","40","20","true","By Mean Belief","false","false","true","false","0","0","228","604.789","804810454","1378459652","100","100","0","0","100","0","0","100","0","0","100","0.1","4.5","6.211428571428571","1.34"
"17","Hawk-Dove","2000","200","80","true","Play-Initial-X-Y","100 at Initial-X/Y","10","0","Empty","10","10","10","10","true","0","false","0","10","10","0.1","10","10","1","3","0","5","1.5","40","20","true","By Mean Belief","false","false","true","false","0","0","662","631.725","-1157507647","1593467419","100","43","57","0","43","57","0","43","57","0","100","0.1","4.5","4.36625","4.7209375"
"34","Hawk-Dove","2000","200","70","true","Play-Initial-X-Y","100 at Initial-X/Y","30","0","Empty","10","10","10","10","true","0","false","0","10","10","0.1","10","10","1","3","0","5","1.5","40","20","true","By Mean Belief","false","false","true","false","0","0","153","642.718","616128221","-1172487604","100","100","0","0","100","0","0","100","0","0","100","0.1","4.5","8.436666666666666","3.0985714285714288"
"28","Hawk-Dove","2000","200","10","true","Play-Initial-X-Y","100 at Initial-X/Y","30","0","Empty","10","10","10","10","true","0","false","0","10","10","0.1","10","10","1","3","0","5","1.5","40","20","true","By Mean Belief","false","false","true","false","0","0","434","664.799","1287598433","1723574459","100","100","0","0","100","0","0","100","0","0","100","0.1","4.5","5.061111111111114","0.5"
"40","Hawk-Dove","2000","200","40","true","Play-Initial-X-Y","100 at Initial-X/Y","40","0","Empty","10","10","10","10","true","0","false","0","10","10","0.1","10","10","1","3","0","5","1.5","40","20","true","By Mean Belief","false","false","true","false","0","0","119","667.303","1364555235","-2027299812","100","100","0","0","100","0","0","100","0","0","100","0.1","4.5","6.691666666666663","1.825"
"39","Hawk-Dove","2000","200","30","true","Play-Initial-X-Y","100 at Initial-X/Y","40","0","Empty","10","10","10","10","true","0","false","0","10","10","0.1","10","10","1","3","0","5","1.5","40","20","true","By Mean Belief","false","false","true","false","0","0","127","675.695","-216499192","298531111","100","100","0","0","100","0","0","100","0","0","100","0.1","4.5","6.179999999999996","1.313333333333334"
"38","Hawk-Dove","2000","200","20","true","Play-Initial-X-Y","100 at Initial-X/Y","40","0","Empty","10","10","10","10","true","0","false","0","10","10","0.1","10","10","1","3","0","5","1.5","40","20","true","By Mean Belief","false","false","true","false","0","0","189","683.154","-1726554093","1436647410","100","100","0","0","100","0","0","100","0","0","100","0.1","4.5","5.6703125","0.89375"
"41","Hawk-Dove","2000","200","50","true","Play-Initial-X-Y","100 at Initial-X/Y","40","0","Empty","10","10","10","10","true","0","false","0","10","10","0.1","10","10","1","3","0","5","1.5","40","20","true","By Mean Belief","false","false","true","false","0","0","115","697.272","762809114","-5011787","100","100","0","0","100","0","0","100","0","0","100","0.1","4.5","7.3124999999999964","2.227500000000001"
"42","Hawk-Dove","2000","200","60","true","Play-Initial-X-Y","100 at Initial-X/Y","40","0","Empty","10","10","10","10","true","0","false","0","10","10","0.1","10","10","1","3","0","5","1.5","40","20","true","By Mean Belief","false","false","true","false","0","0","108","699.091","-203392201","2037101919","100","100","0","0","100","0","0","100","0","0","100","0.1","4.5","7.800625","2.7079166666666663"
"43","Hawk-Dove","2000","200","70","true","Play-Initial-X-Y","100 at Initial-X/Y","40","0","Empty","10","10","10","10","true","0","false","0","10","10","0.1","10","10","1","3","0","5","1.5","40","20","true","By Mean Belief","false","false","true","false","0","0","117","722.895","1624716988","-863894443","100","100","0","0","100","0","0","100","0","0","100","0.1","4.5","8.295833333333334","3.2660714285714296"
"37","Hawk-Dove","2000","200","10","true","Play-Initial-X-Y","100 at Initial-X/Y","40","0","Empty","10","10","10","10","true","0","false","0","10","10","0.1","10","10","1","3","0","5","1.5","40","20","true","By Mean Belief","false","false","true","false","0","0","347","11263.906","1921038965","656861928","100","100","0","0","100","0","0","100","0","0","100","0.1","4.5","5.081388888888892","0.4175"
